country,elo_score,rank
United States,1656.9821968115382,1
Ukraine,1554.778322645082,2
Canada,1541.901529448139,3
Palestine,1536.8070423698077,4
India,1520.4801343761048,5
Japan,1504.1149138148778,6
Nigeria,1501.6944038730974,7
United Kingdom,1496.0521448155066,8
Taiwan,1490.8886348187493,9
Pakistan,1490.8012538064343,10
Philippines,1490.2622824722514,11
South Africa,1481.8473147234802,12
Iran,1476.406904076963,13
Mexico,1475.3927809292716,14
France,1471.0444705824484,15
China,1469.595701080008,16
Russia,1448.2066338206391,17
Israel,1446.9827981624028,18
Germany,1445.7605373731983,19
