country,elo_score,rank
Nigeria,1677.5799310308817,1
Philippines,1660.7817468572262,2
Palestine,1648.7110664440704,3
South Africa,1625.471434457053,4
Pakistan,1562.5621550343885,5
India,1548.9730283687156,6
Ukraine,1533.3740449665547,7
China,1521.8108899894225,8
Mexico,1515.2015038397358,9
Taiwan,1487.3263035454763,10
Iran,1473.9288511712487,11
Japan,1470.8421369691907,12
Israel,1453.2590021969884,13
France,1429.4555151761087,14
Germany,1426.7248155945208,15
United States,1393.8604759837947,16
Canada,1378.308322415357,17
Russia,1347.400631943717,18
United Kingdom,1344.4281440155494,19
