country,elo_score,rank
Mexico,1650.579182696412,1
Philippines,1603.1303222569993,2
India,1600.427137701035,3
Pakistan,1600.2014606017856,4
Iran,1574.5302217696353,5
China,1570.8483692022405,6
South Africa,1543.0070532273749,7
Ukraine,1515.8873590593282,8
Nigeria,1513.920434961793,9
Taiwan,1507.4776534369348,10
France,1491.2374891676593,11
Canada,1470.8979655724713,12
Japan,1466.275605272042,13
Russia,1464.309405219065,14
Palestine,1453.916705595511,15
Germany,1444.2129378549364,16
United Kingdom,1371.4281124801444,17
United States,1346.2319666089484,18
Israel,1311.4806173156833,19
