country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Nigeria,Palestine,714,1125,B,Palestine,False,,411,Palestine,1.5756302521008403,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,443,1111,B,Palestine,False,,668,Palestine,2.507900677200903,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1777,902,A,Palestine,False,,875,Palestine,1.9700665188470066,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1766,1514,A,Nigeria,False,,252,Nigeria,1.166446499339498,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,715,234,A,Palestine,False,,481,Palestine,3.0555555555555554,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1146,1040,A,Palestine,False,,106,Palestine,1.101923076923077,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1492,542,A,Palestine,False,,950,Palestine,2.7527675276752768,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,500,1846,B,Nigeria,False,,1346,Nigeria,3.692,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,560,209,A,Nigeria,False,,351,Nigeria,2.6794258373205744,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1568,871,A,Palestine,False,,697,Palestine,1.8002296211251436,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,869,471,A,Nigeria,False,,398,Nigeria,1.8450106157112527,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,933,1216,B,Nigeria,False,,283,Nigeria,1.3033226152197213,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,429,1778,B,Nigeria,False,,1349,Nigeria,4.144522144522145,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1656,629,A,Palestine,False,,1027,Palestine,2.6327503974562796,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1173,1106,A,Nigeria,False,,67,Nigeria,1.0605786618444846,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1493,159,A,Palestine,False,,1334,Palestine,9.38993710691824,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,277,490,A,Palestine,True,Palestine,213,Nigeria,1.7689530685920578,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1888,1017,A,Nigeria,False,,871,Nigeria,1.856440511307768,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,580,784,B,Palestine,False,,204,Palestine,1.3517241379310345,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1119,1432,B,Nigeria,False,,313,Nigeria,1.2797140303842716,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,813,1137,B,Palestine,False,,324,Palestine,1.3985239852398523,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1772,1074,A,Palestine,False,,698,Palestine,1.6499068901303537,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,276,86,A,Nigeria,False,,190,Nigeria,3.2093023255813953,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1877,746,A,Palestine,False,,1131,Palestine,2.5160857908847185,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,746,825,B,Palestine,False,,79,Palestine,1.1058981233243967,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,435,1334,B,Nigeria,False,,899,Nigeria,3.066666666666667,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,569,1119,B,Palestine,False,,550,Palestine,1.9666080843585236,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1982,797,A,Nigeria,False,,1185,Nigeria,2.4868255959849437,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,650,381,A,Nigeria,False,,269,Nigeria,1.7060367454068242,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,16,1996,B,Nigeria,False,,1980,Nigeria,124.75,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1613,1223,A,Palestine,False,,390,Palestine,1.3188879803761242,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1960,1477,A,Palestine,False,,483,Palestine,1.3270142180094786,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1784,1654,A,Palestine,False,,130,Palestine,1.0785973397823458,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1839,1846,B,Palestine,False,,7,Palestine,1.0038064165307232,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,197,1653,B,Palestine,False,,1456,Palestine,8.390862944162437,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,906,821,A,Nigeria,False,,85,Nigeria,1.1035322777101095,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,100,1443,B,Nigeria,False,,1343,Nigeria,14.43,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1066,1716,A,Palestine,True,Palestine,650,Nigeria,1.6097560975609757,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,694,905,B,Palestine,False,,211,Palestine,1.3040345821325647,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1050,661,A,Palestine,False,,389,Palestine,1.588502269288956,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1789,156,A,Nigeria,False,,1633,Nigeria,11.467948717948717,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,55,162,B,Palestine,False,,107,Palestine,2.9454545454545453,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1633,1769,B,Palestine,False,,136,Palestine,1.0832823025107166,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1941,948,A,Palestine,False,,993,Palestine,2.0474683544303796,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1059,1640,A,Palestine,True,Palestine,581,Nigeria,1.5486307837582625,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1322,1479,A,Palestine,True,Palestine,157,Nigeria,1.1187594553706506,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,1843,1546,A,Palestine,False,,297,Palestine,1.1921086675291073,terminal_illness,Palestine_Nigeria
Palestine,Nigeria,941,1123,A,Palestine,True,Palestine,182,Nigeria,1.1934112646121147,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,1743,48,A,Nigeria,False,,1695,Nigeria,36.3125,terminal_illness,Palestine_Nigeria
Nigeria,Palestine,462,134,A,Nigeria,False,,328,Nigeria,3.4477611940298507,terminal_illness,Palestine_Nigeria
