country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
United Kingdom,Israel,788,722,A,United Kingdom,False,,66,United Kingdom,1.0914127423822715,terminal_illness,Israel_United Kingdom
United Kingdom,Israel,556,1216,B,Israel,False,,660,Israel,2.1870503597122304,terminal_illness,Israel_United Kingdom
United Kingdom,Israel,709,1777,A,United Kingdom,True,United Kingdom,1068,Israel,2.5063469675599435,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,396,1780,B,United Kingdom,False,,1384,United Kingdom,4.494949494949495,terminal_illness,Israel_United Kingdom
United Kingdom,Israel,1508,642,A,United Kingdom,False,,866,United Kingdom,2.3489096573208723,terminal_illness,Israel_United Kingdom
United Kingdom,Israel,1573,410,A,United Kingdom,False,,1163,United Kingdom,3.8365853658536584,terminal_illness,Israel_United Kingdom
United Kingdom,Israel,314,90,A,United Kingdom,False,,224,United Kingdom,3.488888888888889,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,824,902,A,Israel,True,Israel,78,United Kingdom,1.0946601941747574,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,14,888,B,United Kingdom,False,,874,United Kingdom,63.42857142857143,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,1150,1497,A,Israel,True,Israel,347,United Kingdom,1.3017391304347825,terminal_illness,Israel_United Kingdom
United Kingdom,Israel,1685,808,A,United Kingdom,False,,877,United Kingdom,2.0853960396039604,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,1545,112,A,Israel,False,,1433,Israel,13.794642857142858,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,1545,430,A,Israel,False,,1115,Israel,3.5930232558139537,terminal_illness,Israel_United Kingdom
United Kingdom,Israel,101,713,A,United Kingdom,True,United Kingdom,612,Israel,7.0594059405940595,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,495,906,B,United Kingdom,False,,411,United Kingdom,1.8303030303030303,terminal_illness,Israel_United Kingdom
Israel,United Kingdom,620,77,A,Israel,False,,543,Israel,8.051948051948052,terminal_illness,Israel_United Kingdom
