country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
China,Nigeria,1805,1783,A,China,False,,22,China,1.0123387549074594,terminal_illness,Nigeria_China
China,Nigeria,1096,984,A,China,False,,112,China,1.113821138211382,terminal_illness,Nigeria_China
China,Nigeria,1857,1550,A,China,False,,307,China,1.1980645161290322,terminal_illness,Nigeria_China
Nigeria,China,68,567,B,China,False,,499,China,8.338235294117647,terminal_illness,Nigeria_China
China,Nigeria,1711,233,A,China,False,,1478,China,7.343347639484978,terminal_illness,Nigeria_China
Nigeria,China,1389,1170,A,Nigeria,False,,219,Nigeria,1.1871794871794872,terminal_illness,Nigeria_China
Nigeria,China,1539,1316,A,Nigeria,False,,223,Nigeria,1.169452887537994,terminal_illness,Nigeria_China
China,Nigeria,885,724,A,China,False,,161,China,1.2223756906077348,terminal_illness,Nigeria_China
China,Nigeria,779,975,B,Nigeria,False,,196,Nigeria,1.251604621309371,terminal_illness,Nigeria_China
Nigeria,China,1283,944,A,Nigeria,False,,339,Nigeria,1.3591101694915255,terminal_illness,Nigeria_China
China,Nigeria,1594,141,A,China,False,,1453,China,11.304964539007091,terminal_illness,Nigeria_China
Nigeria,China,1887,1598,A,Nigeria,False,,289,Nigeria,1.1808510638297873,terminal_illness,Nigeria_China
China,Nigeria,1432,1285,A,China,False,,147,China,1.1143968871595331,terminal_illness,Nigeria_China
Nigeria,China,1350,13,A,Nigeria,False,,1337,Nigeria,103.84615384615384,terminal_illness,Nigeria_China
Nigeria,China,314,707,A,Nigeria,True,Nigeria,393,China,2.251592356687898,terminal_illness,Nigeria_China
Nigeria,China,341,1550,A,Nigeria,True,Nigeria,1209,China,4.545454545454546,terminal_illness,Nigeria_China
Nigeria,China,539,1222,A,Nigeria,True,Nigeria,683,China,2.267161410018553,terminal_illness,Nigeria_China
China,Nigeria,1882,720,A,China,False,,1162,China,2.613888888888889,terminal_illness,Nigeria_China
China,Nigeria,1731,921,A,China,False,,810,China,1.8794788273615635,terminal_illness,Nigeria_China
China,Nigeria,386,1146,B,Nigeria,False,,760,Nigeria,2.9689119170984455,terminal_illness,Nigeria_China
Nigeria,China,1252,258,A,Nigeria,False,,994,Nigeria,4.852713178294573,terminal_illness,Nigeria_China
China,Nigeria,965,980,A,China,True,China,15,Nigeria,1.0155440414507773,terminal_illness,Nigeria_China
China,Nigeria,960,1705,B,Nigeria,False,,745,Nigeria,1.7760416666666667,terminal_illness,Nigeria_China
Nigeria,China,1225,1694,B,China,False,,469,China,1.3828571428571428,terminal_illness,Nigeria_China
China,Nigeria,1378,1670,B,Nigeria,False,,292,Nigeria,1.211901306240929,terminal_illness,Nigeria_China
Nigeria,China,833,1346,B,China,False,,513,China,1.6158463385354143,terminal_illness,Nigeria_China
China,Nigeria,720,1907,B,Nigeria,False,,1187,Nigeria,2.6486111111111112,terminal_illness,Nigeria_China
Nigeria,China,695,222,A,Nigeria,False,,473,Nigeria,3.130630630630631,terminal_illness,Nigeria_China
Nigeria,China,946,780,A,Nigeria,False,,166,Nigeria,1.2128205128205127,terminal_illness,Nigeria_China
Nigeria,China,622,1227,A,Nigeria,True,Nigeria,605,China,1.972668810289389,terminal_illness,Nigeria_China
Nigeria,China,1445,807,A,Nigeria,False,,638,Nigeria,1.7905824039653035,terminal_illness,Nigeria_China
Nigeria,China,526,83,A,Nigeria,False,,443,Nigeria,6.337349397590361,terminal_illness,Nigeria_China
China,Nigeria,850,1048,B,Nigeria,False,,198,Nigeria,1.2329411764705882,terminal_illness,Nigeria_China
China,Nigeria,991,1881,B,Nigeria,False,,890,Nigeria,1.898082744702321,terminal_illness,Nigeria_China
China,Nigeria,158,1364,B,Nigeria,False,,1206,Nigeria,8.632911392405063,terminal_illness,Nigeria_China
China,Nigeria,168,446,B,Nigeria,False,,278,Nigeria,2.6547619047619047,terminal_illness,Nigeria_China
China,Nigeria,729,1952,B,Nigeria,False,,1223,Nigeria,2.6776406035665294,terminal_illness,Nigeria_China
Nigeria,China,1152,938,A,Nigeria,False,,214,Nigeria,1.2281449893390193,terminal_illness,Nigeria_China
China,Nigeria,74,616,B,Nigeria,False,,542,Nigeria,8.324324324324325,terminal_illness,Nigeria_China
China,Nigeria,1107,604,A,China,False,,503,China,1.8327814569536425,terminal_illness,Nigeria_China
China,Nigeria,1701,1188,A,China,False,,513,China,1.4318181818181819,terminal_illness,Nigeria_China
Nigeria,China,1739,764,A,Nigeria,False,,975,Nigeria,2.276178010471204,terminal_illness,Nigeria_China
China,Nigeria,779,1087,B,Nigeria,False,,308,Nigeria,1.3953786906290115,terminal_illness,Nigeria_China
Nigeria,China,1079,515,A,Nigeria,False,,564,Nigeria,2.095145631067961,terminal_illness,Nigeria_China
Nigeria,China,1670,1264,A,Nigeria,False,,406,Nigeria,1.3212025316455696,terminal_illness,Nigeria_China
China,Nigeria,1953,958,A,China,False,,995,China,2.038622129436326,terminal_illness,Nigeria_China
Nigeria,China,293,1145,B,China,False,,852,China,3.907849829351536,terminal_illness,Nigeria_China
China,Nigeria,1303,1783,B,Nigeria,False,,480,Nigeria,1.3683806600153492,terminal_illness,Nigeria_China
China,Nigeria,906,1971,B,Nigeria,False,,1065,Nigeria,2.1754966887417218,terminal_illness,Nigeria_China
Nigeria,China,140,455,A,Nigeria,True,Nigeria,315,China,3.25,terminal_illness,Nigeria_China
