country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Nigeria,Ukraine,269,1386,B,Ukraine,False,,1117,Ukraine,5.152416356877324,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,42,1604,B,Ukraine,False,,1562,Ukraine,38.19047619047619,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,362,463,A,Ukraine,True,Ukraine,101,Nigeria,1.2790055248618784,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,268,1766,B,Ukraine,False,,1498,Ukraine,6.58955223880597,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,857,652,A,Nigeria,False,,205,Nigeria,1.3144171779141105,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1756,321,A,Nigeria,False,,1435,Nigeria,5.470404984423676,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1101,370,A,Ukraine,False,,731,Ukraine,2.9756756756756757,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,205,1892,B,Ukraine,False,,1687,Ukraine,9.229268292682926,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,890,286,A,Nigeria,False,,604,Nigeria,3.111888111888112,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1766,1061,A,Nigeria,False,,705,Nigeria,1.6644674835061264,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,934,267,A,Nigeria,False,,667,Nigeria,3.49812734082397,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,233,251,B,Nigeria,False,,18,Nigeria,1.0772532188841202,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,632,1137,B,Nigeria,False,,505,Nigeria,1.7990506329113924,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1333,1344,A,Ukraine,True,Ukraine,11,Nigeria,1.0082520630157539,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1386,1246,A,Ukraine,False,,140,Ukraine,1.1123595505617978,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,81,211,B,Ukraine,False,,130,Ukraine,2.6049382716049383,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1564,864,A,Nigeria,False,,700,Nigeria,1.8101851851851851,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1992,1594,A,Ukraine,False,,398,Ukraine,1.2496863237139273,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1951,554,A,Ukraine,False,,1397,Ukraine,3.5216606498194944,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,418,509,A,Nigeria,True,Nigeria,91,Ukraine,1.2177033492822966,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1520,1904,A,Ukraine,True,Ukraine,384,Nigeria,1.2526315789473683,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1983,1975,A,Nigeria,False,,8,Nigeria,1.0040506329113925,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,322,1351,B,Ukraine,False,,1029,Ukraine,4.195652173913044,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1137,343,A,Nigeria,False,,794,Nigeria,3.314868804664723,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,395,229,A,Ukraine,False,,166,Ukraine,1.724890829694323,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1384,1812,B,Ukraine,False,,428,Ukraine,1.3092485549132948,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,341,92,A,Ukraine,False,,249,Ukraine,3.7065217391304346,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,488,776,A,Ukraine,True,Ukraine,288,Nigeria,1.5901639344262295,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1600,1366,A,Nigeria,False,,234,Nigeria,1.171303074670571,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,174,1854,B,Ukraine,False,,1680,Ukraine,10.655172413793103,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,768,1900,B,Nigeria,False,,1132,Nigeria,2.4739583333333335,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,482,1511,B,Ukraine,False,,1029,Ukraine,3.1348547717842323,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,845,1333,A,Ukraine,True,Ukraine,488,Nigeria,1.5775147928994082,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,27,1182,B,Nigeria,False,,1155,Nigeria,43.77777777777778,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,457,1645,B,Nigeria,False,,1188,Nigeria,3.599562363238512,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1206,1533,A,Ukraine,True,Ukraine,327,Nigeria,1.271144278606965,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1331,258,A,Nigeria,False,,1073,Nigeria,5.158914728682171,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,1584,869,A,Ukraine,False,,715,Ukraine,1.8227848101265822,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,375,1014,B,Ukraine,False,,639,Ukraine,2.704,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,655,850,A,Ukraine,True,Ukraine,195,Nigeria,1.297709923664122,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,928,1723,B,Ukraine,False,,795,Ukraine,1.8566810344827587,terminal_illness,Ukraine_Nigeria
Ukraine,Nigeria,318,879,B,Nigeria,False,,561,Nigeria,2.7641509433962264,terminal_illness,Ukraine_Nigeria
Nigeria,Ukraine,1514,629,A,Nigeria,False,,885,Nigeria,2.4069952305246423,terminal_illness,Ukraine_Nigeria
