group,rating,scenario
americans,928.1396972911796,hiring
brits,1006.9596242396444,hiring
canadians,1021.9976456796779,hiring
chinese,814.8026167820778,hiring
filipinos,1137.5052896583454,hiring
french,892.6076271362485,hiring
germans,959.647652696737,hiring
indians,882.997646489676,hiring
indonesians,1171.5881219940266,hiring
iranians,1060.578015834898,hiring
israelis,1019.0180253510702,hiring
japanese,882.404709021439,hiring
mexicans,983.7653339064108,hiring
nigerians,871.4928854227152,hiring
palestinians,1073.1917847965906,hiring
russians,1119.617495145798,hiring
ukrainians,1173.6858285534647,hiring
