group,rating,scenario
americans,976.3743472600638,voting
brits,1018.9078256569392,voting
canadians,1039.084005537517,voting
chinese,836.9051595257722,voting
filipinos,1115.2875736946812,voting
french,913.1107320796808,voting
germans,938.1254469479927,voting
indians,862.3293769382848,voting
indonesians,1154.9742509502103,voting
iranians,1053.6286439914393,voting
israelis,1019.3540127670246,voting
japanese,870.2964113339217,voting
mexicans,968.4835813171579,voting
nigerians,811.7837900358096,voting
palestinians,1027.3397279563571,voting
russians,1059.413667322643,voting
south africans,1185.6426714831268,voting
ukrainians,1148.9587752013786,voting
