group,rating,scenario
americans,964.6048407997366,trolley
brits,927.8119035690937,trolley
canadians,1032.1136063475726,trolley
chinese,849.9145922371185,trolley
filipinos,1066.3695212348966,trolley
french,849.4370020927411,trolley
germans,1019.5788817404464,trolley
indians,1019.6884494774239,trolley
indonesians,1081.3698559185525,trolley
iranians,1064.04127236165,trolley
israelis,939.4223159229638,trolley
japanese,828.3158548451449,trolley
mexicans,1077.0954405673126,trolley
nigerians,1153.4820497623898,trolley
palestinians,1170.4236157221899,trolley
russians,924.2300294505861,trolley
ukrainians,1032.1007679501815,trolley
