group,rating,scenario
americans,950.229232361409,trolley
brits,919.1930867860945,trolley
canadians,1032.492218106196,trolley
chinese,841.101387026307,trolley
filipinos,1075.1374959985246,trolley
french,841.8275155130536,trolley
germans,1019.9772015750686,trolley
indians,1019.4590338752721,trolley
indonesians,1080.1752997349722,trolley
iranians,1075.0243617588462,trolley
israelis,942.9994388852459,trolley
japanese,820.3879250310392,trolley
mexicans,1074.9701433133525,trolley
nigerians,1148.5162659322784,trolley
palestinians,1181.1290100041165,trolley
russians,927.9369635689009,trolley
south africans,1018.0307357842875,trolley
ukrainians,1031.412684745034,trolley
