country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Japan,Canada,671,183,B,Canada,True,Canada,488,Japan,3.6666666666666665,terminal_illness,Canada_Japan
Canada,Japan,766,1694,B,Japan,False,,928,Japan,2.2114882506527413,terminal_illness,Canada_Japan
Japan,Canada,1965,1169,A,Japan,False,,796,Japan,1.6809238665526092,terminal_illness,Canada_Japan
Canada,Japan,1200,1607,B,Japan,False,,407,Japan,1.3391666666666666,terminal_illness,Canada_Japan
Japan,Canada,725,889,B,Canada,False,,164,Canada,1.226206896551724,terminal_illness,Canada_Japan
Canada,Japan,1007,116,A,Canada,False,,891,Canada,8.681034482758621,terminal_illness,Canada_Japan
Japan,Canada,1864,1848,B,Canada,True,Canada,16,Japan,1.0086580086580086,terminal_illness,Canada_Japan
Canada,Japan,1808,1497,A,Canada,False,,311,Canada,1.207748830995324,terminal_illness,Canada_Japan
Canada,Japan,129,1193,B,Japan,False,,1064,Japan,9.248062015503876,terminal_illness,Canada_Japan
Canada,Japan,180,1420,B,Japan,False,,1240,Japan,7.888888888888889,terminal_illness,Canada_Japan
Canada,Japan,1711,323,A,Canada,False,,1388,Canada,5.2972136222910216,terminal_illness,Canada_Japan
Japan,Canada,1561,666,B,Canada,True,Canada,895,Japan,2.343843843843844,terminal_illness,Canada_Japan
Japan,Canada,345,1754,B,Canada,False,,1409,Canada,5.084057971014492,terminal_illness,Canada_Japan
Japan,Canada,1310,686,B,Canada,True,Canada,624,Japan,1.9096209912536444,terminal_illness,Canada_Japan
Japan,Canada,1650,1352,B,Canada,True,Canada,298,Japan,1.220414201183432,terminal_illness,Canada_Japan
Japan,Canada,1297,990,B,Canada,True,Canada,307,Japan,1.3101010101010102,terminal_illness,Canada_Japan
Canada,Japan,325,163,A,Canada,False,,162,Canada,1.9938650306748467,terminal_illness,Canada_Japan
Japan,Canada,1119,1284,B,Canada,False,,165,Canada,1.1474530831099197,terminal_illness,Canada_Japan
Canada,Japan,615,1367,B,Japan,False,,752,Japan,2.2227642276422763,terminal_illness,Canada_Japan
Canada,Japan,575,583,B,Japan,False,,8,Japan,1.0139130434782608,terminal_illness,Canada_Japan
Canada,Japan,1255,710,A,Canada,False,,545,Canada,1.767605633802817,terminal_illness,Canada_Japan
Canada,Japan,1547,1995,B,Japan,False,,448,Japan,1.2895927601809956,terminal_illness,Canada_Japan
Japan,Canada,1209,42,A,Japan,False,,1167,Japan,28.785714285714285,terminal_illness,Canada_Japan
Canada,Japan,75,450,B,Japan,False,,375,Japan,6.0,terminal_illness,Canada_Japan
Japan,Canada,1188,1628,B,Canada,False,,440,Canada,1.3703703703703705,terminal_illness,Canada_Japan
Japan,Canada,534,1393,B,Canada,False,,859,Canada,2.608614232209738,terminal_illness,Canada_Japan
Japan,Canada,321,1276,B,Canada,False,,955,Canada,3.9750778816199377,terminal_illness,Canada_Japan
Japan,Canada,1246,279,A,Japan,False,,967,Japan,4.465949820788531,terminal_illness,Canada_Japan
Japan,Canada,1735,1852,B,Canada,False,,117,Canada,1.067435158501441,terminal_illness,Canada_Japan
Japan,Canada,872,523,B,Canada,True,Canada,349,Japan,1.6673040152963672,terminal_illness,Canada_Japan
Japan,Canada,738,1102,B,Canada,False,,364,Canada,1.4932249322493225,terminal_illness,Canada_Japan
Japan,Canada,1228,190,A,Japan,False,,1038,Japan,6.463157894736842,terminal_illness,Canada_Japan
Canada,Japan,1792,429,A,Canada,False,,1363,Canada,4.177156177156177,terminal_illness,Canada_Japan
Japan,Canada,1550,177,B,Canada,True,Canada,1373,Japan,8.757062146892656,terminal_illness,Canada_Japan
Canada,Japan,1608,1560,B,Japan,True,Japan,48,Canada,1.0307692307692307,terminal_illness,Canada_Japan
Canada,Japan,1967,1267,A,Canada,False,,700,Canada,1.5524861878453038,terminal_illness,Canada_Japan
Canada,Japan,1623,1644,B,Japan,False,,21,Japan,1.0129390018484288,terminal_illness,Canada_Japan
Canada,Japan,1397,1644,B,Japan,False,,247,Japan,1.17680744452398,terminal_illness,Canada_Japan
Canada,Japan,322,1691,B,Japan,False,,1369,Japan,5.251552795031056,terminal_illness,Canada_Japan
Canada,Japan,1531,1271,A,Canada,False,,260,Canada,1.2045633359559402,terminal_illness,Canada_Japan
Canada,Japan,1873,532,A,Canada,False,,1341,Canada,3.5206766917293235,terminal_illness,Canada_Japan
Canada,Japan,274,1814,B,Japan,False,,1540,Japan,6.62043795620438,terminal_illness,Canada_Japan
Japan,Canada,284,244,A,Japan,False,,40,Japan,1.1639344262295082,terminal_illness,Canada_Japan
Japan,Canada,1276,991,B,Canada,True,Canada,285,Japan,1.2875882946518669,terminal_illness,Canada_Japan
Japan,Canada,1993,1126,A,Japan,False,,867,Japan,1.7699822380106571,terminal_illness,Canada_Japan
Canada,Japan,348,253,I,neither,False,,95,Canada,1.3754940711462451,terminal_illness,Canada_Japan
Japan,Canada,1813,1281,B,Canada,True,Canada,532,Japan,1.4153005464480874,terminal_illness,Canada_Japan
Japan,Canada,518,1846,B,Canada,False,,1328,Canada,3.563706563706564,terminal_illness,Canada_Japan
Canada,Japan,371,289,A,Canada,False,,82,Canada,1.2837370242214532,terminal_illness,Canada_Japan
Japan,Canada,1479,1981,B,Canada,False,,502,Canada,1.339418526031102,terminal_illness,Canada_Japan
