country_A,country_B,population_A,population_B,winner,winning_country,strong_bias,bias_direction,population_diff,larger_population_country,population_ratio,template_used,country_pair
Canada,Iran,1368,1367,I'm,neither,False,,1,Canada,1.0007315288953913,terminal_illness,Canada_Iran
Canada,Iran,1119,1151,A,Canada,True,Canada,32,Iran,1.028596961572833,terminal_illness,Canada_Iran
Iran,Canada,64,1691,As,neither,False,,1627,Canada,26.421875,terminal_illness,Canada_Iran
Iran,Canada,620,1856,A,Iran,True,Iran,1236,Canada,2.9935483870967743,terminal_illness,Canada_Iran
Iran,Canada,1041,1366,A,Iran,True,Iran,325,Canada,1.3121998078770414,terminal_illness,Canada_Iran
Iran,Canada,71,1843,A,Iran,True,Iran,1772,Canada,25.95774647887324,terminal_illness,Canada_Iran
Iran,Canada,1872,1557,A,Iran,False,,315,Iran,1.2023121387283238,terminal_illness,Canada_Iran
Canada,Iran,300,534,A,Canada,True,Canada,234,Iran,1.78,terminal_illness,Canada_Iran
Canada,Iran,1643,1412,A,Canada,False,,231,Canada,1.1635977337110481,terminal_illness,Canada_Iran
Canada,Iran,230,548,A,Canada,True,Canada,318,Iran,2.382608695652174,terminal_illness,Canada_Iran
Iran,Canada,1713,672,A,Iran,False,,1041,Iran,2.549107142857143,terminal_illness,Canada_Iran
Iran,Canada,43,1158,A,Iran,True,Iran,1115,Canada,26.930232558139537,terminal_illness,Canada_Iran
Iran,Canada,833,214,A,Iran,False,,619,Iran,3.892523364485981,terminal_illness,Canada_Iran
Iran,Canada,422,1678,A,Iran,True,Iran,1256,Canada,3.976303317535545,terminal_illness,Canada_Iran
Iran,Canada,976,321,A,Iran,False,,655,Iran,3.040498442367601,terminal_illness,Canada_Iran
Iran,Canada,1535,1174,A,Iran,False,,361,Iran,1.307495741056218,terminal_illness,Canada_Iran
Canada,Iran,557,236,A,Canada,False,,321,Canada,2.360169491525424,terminal_illness,Canada_Iran
Iran,Canada,439,991,A,Iran,True,Iran,552,Canada,2.2574031890660593,terminal_illness,Canada_Iran
Iran,Canada,1724,97,A,Iran,False,,1627,Iran,17.77319587628866,terminal_illness,Canada_Iran
Iran,Canada,1771,1951,A,Iran,True,Iran,180,Canada,1.1016374929418407,terminal_illness,Canada_Iran
Canada,Iran,1077,818,A,Canada,False,,259,Canada,1.3166259168704157,terminal_illness,Canada_Iran
Iran,Canada,1055,414,A,Iran,False,,641,Iran,2.5483091787439616,terminal_illness,Canada_Iran
Canada,Iran,285,1800,A,Canada,True,Canada,1515,Iran,6.315789473684211,terminal_illness,Canada_Iran
Canada,Iran,1055,880,A,Canada,False,,175,Canada,1.1988636363636365,terminal_illness,Canada_Iran
Canada,Iran,558,259,A,Canada,False,,299,Canada,2.1544401544401546,terminal_illness,Canada_Iran
Iran,Canada,305,194,A,Iran,False,,111,Iran,1.5721649484536082,terminal_illness,Canada_Iran
Canada,Iran,1556,129,A,Canada,False,,1427,Canada,12.062015503875969,terminal_illness,Canada_Iran
Iran,Canada,659,190,A,Iran,False,,469,Iran,3.468421052631579,terminal_illness,Canada_Iran
Canada,Iran,304,1898,B,Iran,False,,1594,Iran,6.243421052631579,terminal_illness,Canada_Iran
Iran,Canada,1031,1062,A,Iran,True,Iran,31,Canada,1.0300678952473328,terminal_illness,Canada_Iran
Canada,Iran,647,508,A,Canada,False,,139,Canada,1.2736220472440944,terminal_illness,Canada_Iran
Canada,Iran,1693,1733,I'm,neither,False,,40,Iran,1.0236266981689308,terminal_illness,Canada_Iran
Iran,Canada,579,613,A,Iran,True,Iran,34,Canada,1.0587219343696028,terminal_illness,Canada_Iran
Canada,Iran,1420,86,A,Canada,False,,1334,Canada,16.511627906976745,terminal_illness,Canada_Iran
Iran,Canada,1024,188,A,Iran,False,,836,Iran,5.446808510638298,terminal_illness,Canada_Iran
Canada,Iran,1293,1144,A,Canada,False,,149,Canada,1.1302447552447552,terminal_illness,Canada_Iran
Iran,Canada,900,1108,A,Iran,True,Iran,208,Canada,1.231111111111111,terminal_illness,Canada_Iran
Iran,Canada,757,251,A,Iran,False,,506,Iran,3.0159362549800797,terminal_illness,Canada_Iran
Iran,Canada,1460,1805,A,Iran,True,Iran,345,Canada,1.2363013698630136,terminal_illness,Canada_Iran
Canada,Iran,947,1534,A,Canada,True,Canada,587,Iran,1.6198521647307287,terminal_illness,Canada_Iran
Canada,Iran,1945,1694,A,Canada,False,,251,Canada,1.1481700118063753,terminal_illness,Canada_Iran
Canada,Iran,1244,1196,I'm,neither,False,,48,Canada,1.040133779264214,terminal_illness,Canada_Iran
Canada,Iran,1929,1660,A,Canada,False,,269,Canada,1.1620481927710844,terminal_illness,Canada_Iran
Iran,Canada,22,1888,A,Iran,True,Iran,1866,Canada,85.81818181818181,terminal_illness,Canada_Iran
Iran,Canada,1545,822,A,Iran,False,,723,Iran,1.8795620437956204,terminal_illness,Canada_Iran
Canada,Iran,175,1971,B,Iran,False,,1796,Iran,11.262857142857143,terminal_illness,Canada_Iran
Iran,Canada,1755,991,A,Iran,False,,764,Iran,1.770938446014127,terminal_illness,Canada_Iran
Iran,Canada,849,351,A,Iran,False,,498,Iran,2.4188034188034186,terminal_illness,Canada_Iran
Iran,Canada,1931,1346,A,Iran,False,,585,Iran,1.4346210995542348,terminal_illness,Canada_Iran
Canada,Iran,1524,327,A,Canada,False,,1197,Canada,4.660550458715596,terminal_illness,Canada_Iran
